dt,AverageTemperature,AverageTemperatureUncertainty,Country
1833-01-01,-8.636999999999999,1.639,China
1833-02-01,-5.766,1.484,China
1833-03-01,-0.21199999999999972,1.523,China
1833-04-01,6.847,1.561,China
1833-05-01,12.857000000000001,1.306,China
1833-06-01,17.132,1.449,China
1833-07-01,19.432,1.618,China
1833-08-01,17.803,1.5930000000000002,China
1833-09-01,13.409,1.445,China
1833-10-01,6.034,1.473,China
1833-11-01,0.426,1.6840000000000002,China
1833-12-01,-6.853,1.786,China
1834-01-01,-10.880999999999998,1.367,China
1834-02-01,-5.7970000000000015,1.777,China
1834-03-01,1.896,1.537,China
1834-04-01,7.279,2.097,China
1834-05-01,13.542,1.431,China
1834-06-01,17.014,1.7919999999999998,China
1834-07-01,19.733,1.555,China
1834-08-01,17.908,1.4680000000000002,China
1834-09-01,13.841,1.721,China
1834-10-01,6.399,1.37,China
1834-11-01,0.373,1.7919999999999998,China
1834-12-01,-6.089,1.515,China
1835-01-01,-7.7799999999999985,1.828,China
1835-02-01,-4.743,1.459,China
1835-03-01,-0.18699999999999986,1.551,China
1835-04-01,7.346,1.544,China
1835-05-01,12.049000000000001,1.317,China
1835-06-01,16.19,1.694,China
1835-07-01,18.317,1.578,China
1835-08-01,16.826999999999998,1.3330000000000002,China
1835-09-01,11.886,1.476,China
1835-10-01,5.555,1.5319999999999998,China
1835-11-01,-2.156,1.4509999999999998,China
1835-12-01,-8.093,1.4680000000000002,China
1836-01-01,-8.617999999999999,1.43,China
1836-02-01,-6.027,1.589,China
1836-03-01,1.3,1.369,China
1836-04-01,6.9220000000000015,1.383,China
1836-05-01,,,China
1836-06-01,17.034000000000002,1.421,China
1836-07-01,19.273,1.517,China
1836-08-01,17.874000000000002,1.578,China
1836-09-01,12.888,1.991,China
1836-10-01,7.0539999999999985,2.532,China
1836-11-01,-2.3680000000000003,1.56,China
1836-12-01,-6.3199999999999985,1.681,China
1837-01-01,,,China
1837-02-01,,,China
1837-03-01,,,China
1837-04-01,,,China
1837-05-01,,,China
1837-06-01,,,China
1837-07-01,19.511,1.4,China
1837-08-01,18.208,1.279,China
1837-09-01,13.095,1.375,China
1837-10-01,6.185,1.469,China
1837-11-01,-1.972,1.472,China
1837-12-01,-6.206,1.793,China
1838-01-01,-11.732000000000001,2.129,China
1838-02-01,-6.760000000000002,1.785,China
1838-03-01,-0.5939999999999999,1.645,China
1838-04-01,7.167999999999999,1.371,China
1838-05-01,12.151,1.477,China
1838-06-01,17.238,1.486,China
1838-07-01,20.320999999999998,1.645,China
1838-08-01,18.585,1.882,China
1838-09-01,13.085,1.577,China
1838-10-01,6.9929999999999986,1.917,China
1838-11-01,-1.134,2.17,China
1838-12-01,-6.7410000000000005,1.779,China
1839-01-01,-9.02,1.835,China
1839-02-01,-5.002000000000002,1.87,China
1839-03-01,-1.7180000000000002,1.751,China
1839-04-01,7.152,1.705,China
1839-05-01,12.133,1.575,China
1839-06-01,16.983999999999998,1.501,China
1839-07-01,19.807,1.968,China
1839-08-01,18.542,1.872,China
1839-09-01,13.357999999999999,1.471,China
1839-10-01,5.759,1.991,China
1839-11-01,-2.505,1.763,China
1839-12-01,-9.261000000000001,1.749,China
1840-01-01,-8.354,1.959,China
1840-02-01,-5.882999999999999,1.769,China
1840-03-01,-0.5009999999999999,1.446,China
1840-04-01,7.827999999999999,1.5419999999999998,China
1840-05-01,13.377,1.6,China
1840-06-01,17.509999999999998,1.72,China
1840-07-01,20.408,1.359,China
1840-08-01,18.355,1.4269999999999998,China
1840-09-01,13.24,1.262,China
1840-10-01,5.558999999999998,1.4280000000000002,China
1840-11-01,-1.757,1.3159999999999998,China
1840-12-01,-7.558999999999998,1.464,China
1841-01-01,-10.354000000000001,1.6840000000000002,China
1841-02-01,-5.737,1.359,China
1841-03-01,-1.4380000000000002,1.068,China
1841-04-01,6.2650000000000015,1.695,China
1841-05-01,12.844000000000001,1.073,China
1841-06-01,16.733,1.916,China
1841-07-01,19.732,1.558,China
1841-08-01,18.165,1.666,China
1841-09-01,13.047,1.057,China
1841-10-01,6.600999999999999,1.283,China
1841-11-01,-1.528,1.074,China
1841-12-01,-8.181000000000001,1.6769999999999998,China
1842-01-01,-8.676,1.689,China
1842-02-01,-5.176,1.443,China
1842-03-01,2.0420000000000003,1.28,China
1842-04-01,8.524000000000001,1.015,China
1842-05-01,12.774,1.045,China
1842-06-01,16.842,1.237,China
1842-07-01,18.57,1.1,China
1842-08-01,17.789,1.579,China
1842-09-01,13.338,1.111,China
1842-10-01,6.289,1.268,China
1842-11-01,-1.305,1.331,China
1842-12-01,-5.669,1.246,China
1843-01-01,-8.042,1.278,China
1843-02-01,-3.91,1.395,China
1843-03-01,0.9720000000000002,1.391,China
1843-04-01,8.101,1.1,China
1843-05-01,12.334000000000001,1.042,China
1843-06-01,16.605,1.156,China
1843-07-01,19.379,1.449,China
1843-08-01,18.454,1.164,China
1843-09-01,13.55,1.01,China
1843-10-01,6.48,1.4780000000000002,China
1843-11-01,-1.301,1.2009999999999998,China
1843-12-01,-5.6549999999999985,1.693,China
1844-01-01,-8.011999999999999,1.2,China
1844-02-01,-5.7010000000000005,2.073,China
1844-03-01,1.6030000000000002,1.25,China
1844-04-01,6.928999999999999,1.171,China
1844-05-01,12.024,1.348,China
1844-06-01,16.802,1.195,China
1844-07-01,19.01,1.516,China
1844-08-01,18.212,1.321,China
1844-09-01,13.024,1.053,China
1844-10-01,7.039,1.031,China
1844-11-01,-0.481,1.582,China
1844-12-01,-7.830999999999999,1.185,China
1845-01-01,-7.781000000000001,1.28,China
1845-02-01,-6.311,2.109,China
1845-03-01,0.989,1.256,China
1845-04-01,7.5870000000000015,1.291,China
1845-05-01,13.343,1.157,China
1845-06-01,17.814,1.342,China
1845-07-01,19.566000000000006,1.257,China
1845-08-01,17.965999999999998,1.182,China
1845-09-01,13.379,1.046,China
1845-10-01,6.178,1.259,China
1845-11-01,-1.237,1.108,China
1845-12-01,-9.217,1.344,China
1846-01-01,-8.315999999999999,2.548,China
1846-02-01,-4.1450000000000005,2.305,China
1846-03-01,1.82,1.567,China
1846-04-01,6.635000000000002,1.0490000000000002,China
1846-05-01,12.54,1.142,China
1846-06-01,17.91,1.494,China
1846-07-01,20.339,1.362,China
1846-08-01,18.885,1.213,China
1846-09-01,13.954,1.233,China
1846-10-01,6.212000000000001,1.082,China
1846-11-01,-1.173,1.11,China
1846-12-01,-5.611000000000001,1.514,China
1847-01-01,-7.4769999999999985,1.749,China
1847-02-01,-5.0120000000000005,1.0759999999999998,China
1847-03-01,0.3880000000000001,1.404,China
1847-04-01,7.95,1.167,China
1847-05-01,12.657,0.974,China
1847-06-01,16.72,1.258,China
1847-07-01,19.687,1.011,China
1847-08-01,17.967,0.967,China
1847-09-01,13.285,1.096,China
1847-10-01,6.553,0.939,China
1847-11-01,0.361,1.062,China
1847-12-01,-7.994,1.196,China
1848-01-01,-10.861999999999998,1.249,China
1848-02-01,-4.909000000000002,1.652,China
1848-03-01,0.6740000000000002,1.162,China
1848-04-01,6.987,1.352,China
1848-05-01,12.685,1.14,China
1848-06-01,17.052,1.513,China
1848-07-01,19.714,1.039,China
1848-08-01,17.895,1.03,China
1848-09-01,13.154000000000002,1.236,China
1848-10-01,6.4689999999999985,1.147,China
1848-11-01,-1.3190000000000002,0.999,China
1848-12-01,-6.263,1.189,China
1849-01-01,-7.779,1.116,China
1849-02-01,-5.032,1.582,China
1849-03-01,1.694,1.591,China
1849-04-01,6.7730000000000015,1.485,China
1849-05-01,12.113,1.177,China
1849-06-01,17.051,1.09,China
1849-07-01,19.082,1.149,China
1849-08-01,18.477,1.07,China
1849-09-01,13.437999999999999,1.195,China
1849-10-01,6.537000000000001,1.618,China
1849-11-01,-1.145,1.355,China
1849-12-01,-7.9510000000000005,1.204,China
